fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names
2022,1,E11,Aliens with Extraordinary Ability,2448,1391,492,5925,0.56821895424836601307,0.20098039215686274510,0.73871481678173127987,0.26128518321826872013,2.4203431372549020,4,I140_FY22_Q4_RADP.csv
2022,1,EB1,First Preference,6263,4671,650,19385,0.74580871786683697908,0.10378412901165575603,0.87784251080623942868,0.12215748919376057132,3.0951620629091490,4,I140_FY22_Q4_RADP.csv
2022,1,EB2,Second Preference,21624,19903,478,40182,0.92041250462449130596,0.02210506844247132815,0.97654678376919680094,0.02345321623080319906,1.8582130965593785,4,I140_FY22_Q4_RADP.csv
2022,1,NIW,National Interest Waiver,4883,3578,252,20584,0.73274626254351832890,0.05160761826745852959,0.93420365535248041775,0.06579634464751958225,4.2154413270530412,4,I140_FY22_Q4_RADP.csv
2022,1,TOTAL,Total,42526,38527,1470,101567,0.90596341061938578752,0.03456708836946809011,0.96324724354326574493,0.03675275645673425507,2.3883506560692282,4,I140_FY22_Q4_RADP.csv
2022,2,E11,Aliens with Extraordinary Ability,2383,1384,452,6063,0.58078052874527906001,0.18967687788501888376,0.75381263616557734205,0.24618736383442265795,2.5442719261435166,4,I140_FY22_Q4_RADP.csv
2022,2,EB1,First Preference,6046,4350,580,20094,0.71948395633476678796,0.09593119417796890506,0.88235294117647058824,0.11764705882352941176,3.3235196824346675,4,I140_FY22_Q4_RADP.csv
2022,2,EB2,Second Preference,21764,20057,307,40511,0.92156772652086013600,0.01410586289285057894,0.98492437635042231389,0.01507562364957768611,1.8613765851865466,4,I140_FY22_Q4_RADP.csv
2022,2,NIW,National Interest Waiver,4845,3470,161,21045,0.71620227038183694530,0.03323013415892672859,0.95565959790691269623,0.04434040209308730377,4.3436532507739938,4,I140_FY22_Q4_RADP.csv
2022,2,TOTAL,Total,40977,36991,1120,97010,0.90272591941821021549,0.02733240598384459575,0.97061215921912308782,0.02938784078087691218,2.3674256290113966,4,I140_FY22_Q4_RADP.csv
2022,3,E11,Aliens with Extraordinary Ability,2595,1493,433,6137,0.57533718689788053950,0.16685934489402697495,0.77518172377985462098,0.22481827622014537902,2.3649325626204239,4,I140_FY22_Q4_RADP.csv
2022,3,EB1,First Preference,6440,4529,536,17861,0.70326086956521739130,0.08322981366459627329,0.89417571569595261599,0.10582428430404738401,2.7734472049689441,4,I140_FY22_Q4_RADP.csv
2022,3,EB2,Second Preference,21000,17649,167,34204,0.84042857142857142857,0.00795238095238095238,0.99062640323304894477,0.00937359676695105523,1.6287619047619048,4,I140_FY22_Q4_RADP.csv
2022,3,NIW,National Interest Waiver,5328,2395,50,20318,0.44951201201201201201,0.00938438438438438438,0.97955010224948875256,0.02044989775051124744,3.8134384384384384,4,I140_FY22_Q4_RADP.csv
2022,3,TOTAL,Total,43848,37467,932,80185,0.85447454844006568144,0.02125524539317642766,0.97572853459725513685,0.02427146540274486315,1.8287037037037037,4,I140_FY22_Q4_RADP.csv
2022,4,E11,Aliens with Extraordinary Ability,3055,1355,231,6281,0.44353518821603927987,0.07561374795417348609,0.85435056746532156368,0.14564943253467843632,2.0559738134206219,4,I140_FY22_Q4_RADP.csv
2022,4,EB1,First Preference,7227,4168,278,13902,0.57672616576726165767,0.03846686038466860385,0.93747188484030589294,0.06252811515969410706,1.9236197592361976,4,I140_FY22_Q4_RADP.csv
2022,4,EB2,Second Preference,20084,13120,59,24967,0.65325632344154550886,0.00293766182035451105,0.99552318081796797936,0.00447681918203202064,1.24312885879306910974,4,I140_FY22_Q4_RADP.csv
2022,4,NIW,National Interest Waiver,6917,873,5,18599,0.12621078502240855862,0.00072285672979615440,0.99430523917995444191,0.00569476082004555809,2.6888824634957351,4,I140_FY22_Q4_RADP.csv
2022,4,TOTAL,Total,37949,26659,481,54529,0.70249545442567656592,0.01267490579461909405,0.98227708179808400884,0.01772291820191599116,1.4369021581596353,4,I140_FY22_Q4_RADP.csv
2023,1,E11,Aliens with Extraordinary Ability,3463,2367,823,6382,0.68351140629511983829,0.23765521224371931851,0.74200626959247648903,0.25799373040752351097,1.8429107710077967,4,i140_fy23_q4_radp.csv
2023,1,EB1,First Preference,9090,7844,1232,13808,0.86292629262926292629,0.13553355335533553355,0.86425738210665491406,0.13574261789334508594,1.5190319031903190,4,i140_fy23_q4_radp.csv
2023,1,EB2,Second Preference,19770,20616,1890,23040,1.0427921092564492,0.09559939301972685888,0.91602239402825913090,0.08397760597174086910,1.1654021244309560,4,i140_fy23_q4_radp.csv
2023,1,NIW,National Interest Waiver,8807,7610,1348,18816,0.86408538662427614398,0.15306006585670489383,0.84951998213887028355,0.15048001786112971645,2.1364823435903259,4,i140_fy23_q4_radp.csv
2023,1,TOTAL,Total,40163,42811,4088,47902,1.06593132983093892389,0.10178522520728033264,0.91283396234461289153,0.08716603765538710847,1.19268978910937927944,4,i140_fy23_q4_radp.csv
2023,2,E11,Aliens with Extraordinary Ability,3569,2400,1045,6588,0.67245727094424208462,0.29279910339030540768,0.69666182873730043541,0.30333817126269956459,1.8458952087419445,4,i140_fy23_q4_radp.csv
2023,2,EB1,First Preference,8273,8016,1461,12825,0.96893509005197630847,0.17659857367339538257,0.84583729028173472618,0.15416270971826527382,1.5502236190015714,4,i140_fy23_q4_radp.csv
2023,2,EB2,Second Preference,22239,22488,2388,21399,1.01119654660731147983,0.10737892890867395117,0.90400385914134105162,0.09599614085865894838,0.96222851746931067044,4,i140_fy23_q4_radp.csv
2023,2,NIW,National Interest Waiver,8120,9204,1681,16216,1.1334975369458128,0.20701970443349753695,0.84556729444189251263,0.15443270555810748737,1.9970443349753695,4,i140_fy23_q4_radp.csv
2023,2,TOTAL,Total,45506,44777,4575,46014,0.98398013448775985584,0.10053619302949061662,0.90729858972280758632,0.09270141027719241368,1.01116336307300136246,4,i140_fy23_q4_radp.csv
2023,3,E11,Aliens with Extraordinary Ability,4278,2580,1097,7265,0.60308555399719495091,0.25642823749415614773,0.70165896110960021757,0.29834103889039978243,1.6982234689107059,4,i140_fy23_q4_radp.csv
2023,3,EB1,First Preference,9692,7650,1396,13596,0.78931077177053239785,0.14403631861328931077,0.84567764757904045987,0.15432235242095954013,1.4028064382996286,4,i140_fy23_q4_radp.csv
2023,3,EB2,Second Preference,24774,19840,2809,24119,0.80083958989262936950,0.11338500040364898684,0.87597686432072056161,0.12402313567927943839,0.97356099136191168160,4,i140_fy23_q4_radp.csv
2023,3,NIW,National Interest Waiver,10527,7398,2200,17264,0.70276432031917925335,0.20898641588296760711,0.77078558032923525735,0.22921441967076474265,1.63997340172888762230,4,i140_fy23_q4_radp.csv
2023,3,TOTAL,Total,52071,41247,4726,53190,0.79212997637840640664,0.09076069213189683317,0.89720053074630761534,0.10279946925369238466,1.02148988880566918246,4,i140_fy23_q4_radp.csv
2023,4,E11,Aliens with Extraordinary Ability,4595,3009,1191,7657,0.65484221980413492927,0.25919477693144722524,0.71642857142857142857,0.28357142857142857143,1.6663764961915125,4,i140_fy23_q4_radp.csv
2023,4,EB1,First Preference,10216,7959,1435,14473,0.77907204385277995301,0.14046593578700078309,0.84724292101341281669,0.15275707898658718331,1.41669929522317932655,4,i140_fy23_q4_radp.csv
2023,4,EB2,Second Preference,26227,18921,4151,28550,0.72143211194570480802,0.15827200976093338926,0.82008495145631067961,0.17991504854368932039,1.08857284477828192321,4,i140_fy23_q4_radp.csv
2023,4,NIW,National Interest Waiver,12349,7677,2943,19117,0.62166977083164628715,0.23831889221799335979,0.72288135593220338983,0.27711864406779661017,1.54806057170621102923,4,i140_fy23_q4_radp.csv
2023,4,TOTAL,Total,51288,39755,6248,60552,0.77513258462018405865,0.12182186866323506473,0.86418277068886811730,0.13581722931113188270,1.1806270472625175,4,i140_fy23_q4_radp.csv
2024,1,E11,Aliens with Extraordinary Ability,4704,2928,1067,8088,0.62244897959183673469,0.22682823129251700680,0.73291614518147684606,0.26708385481852315394,1.7193877551020408,4,i140_fy2024_q4.xlsx
2024,1,EB1,First Preference,9678,7529,1233,14996,0.77794998966728662947,0.12740235585864848109,0.85927870349235334399,0.14072129650764665601,1.5494936970448440,4,i140_fy2024_q4.xlsx
2024,1,EB2,Second Preference,27605,18920,2756,34333,0.68538308277485962688,0.09983698605325122260,0.87285477025281417236,0.12714522974718582764,1.2437239630501721,4,i140_fy2024_q4.xlsx
2024,1,NIW,National Interest Waiver,14264,7996,2423,22756,0.56057206954570947841,0.16986819966348850252,0.76744409252327478645,0.23255590747672521355,1.5953449242849131,4,i140_fy2024_q4.xlsx
2024,1,TOTAL,Total,55590,38696,4320,71049,0.69609642021946393236,0.07771181867242309768,0.89957225218523340153,0.10042774781476659847,1.2780895844576363,4,i140_fy2024_q4.xlsx
2024,2,E11,Aliens with Extraordinary Ability,5364,3112,1263,8992,0.58016405667412378822,0.23545861297539149888,0.71131428571428571429,0.28868571428571428571,1.6763609246830723,4,i140_fy2024_q4.xlsx
2024,2,EB1,First Preference,11505,8226,1453,16789,0.71499348109517601043,0.12629291612342459800,0.84988118607294141957,0.15011881392705858043,1.45927857453281182095,4,i140_fy2024_q4.xlsx
2024,2,EB2,Second Preference,28834,19896,3263,40802,0.69001872789068460845,0.11316501352569882777,0.85910445183298069865,0.14089554816701930135,1.4150655476173961,4,i140_fy2024_q4.xlsx
2024,2,NIW,National Interest Waiver,16437,8052,2572,28694,0.48987041430918050739,0.15647624262334975969,0.75790662650602409639,0.24209337349397590361,1.7456956865608079,4,i140_fy2024_q4.xlsx
2024,2,TOTAL,Total,61386,42554,5269,85806,0.69321995243215065324,0.08583390349591111980,0.88982288856826213328,0.11017711143173786672,1.3978105757013000,4,i140_fy2024_q4.xlsx
2024,3,E11,Aliens with Extraordinary Ability,4331,2857,1225,9210,0.65966289540521819441,0.28284460863541907181,0.69990200881920627144,0.30009799118079372856,2.1265296698222120,4,i140_fy2024_q4.xlsx
2024,3,EB1,First Preference,8864,7627,1375,16677,0.86044675090252707581,0.15512184115523465704,0.84725616529660075539,0.15274383470339924461,1.8814305054151625,4,i140_fy2024_q4.xlsx
2024,3,EB2,Second Preference,27837,18491,3155,47536,0.66425979811042856630,0.11333836261091353235,0.85424558809941790631,0.14575441190058209369,1.7076552789452886,4,i140_fy2024_q4.xlsx
2024,3,NIW,National Interest Waiver,14235,6082,2834,34118,0.42725676150333684580,0.19908675799086757991,0.68214445939883355765,0.31785554060116644235,2.3967685282753776,4,i140_fy2024_q4.xlsx
2024,3,TOTAL,Total,54487,39608,4851,96997,0.72692568869638629398,0.08903041092370657221,0.89088823410333115905,0.10911176589666884095,1.7801860994365628,4,i140_fy2024_q4.xlsx
2024,4,E11,Aliens with Extraordinary Ability,5767,3334,1148,10586,0.57811687185711808566,0.19906363794000346801,0.74386434627398482820,0.25613565372601517180,1.8356164383561644,4,i140_fy2024_q4.xlsx
2024,4,EB1,First Preference,11119,7959,1309,18735,0.71580178073567766886,0.11772641424588542135,0.85876132930513595166,0.14123867069486404834,1.68495368288515154240,4,i140_fy2024_q4.xlsx
2024,4,EB2,Second Preference,29693,16885,3791,57292,0.56865254437072710740,0.12767318896709662210,0.81664732056490617141,0.18335267943509382859,1.9294783282255077,4,i140_fy2024_q4.xlsx
2024,4,NIW,National Interest Waiver,18613,5396,3427,44093,0.28990490517380325579,0.18411862676623865041,0.61158336166836676867,0.38841663833163323133,2.3689356901090636,4,i140_fy2024_q4.xlsx
2024,4,TOTAL,Total,56835,38248,5521,112206,0.67296560218175420076,0.09714084630949239025,0.87386049487079896731,0.12613950512920103269,1.9742412245975191,4,i140_fy2024_q4.xlsx
2025,1,E11,Aliens with Extraordinary Ability,7370,3227,1091,13526,0.43785617367706919946,0.14803256445047489824,0.74733672996757758221,0.25266327003242241779,1.8352781546811398,4,i140_fy2025_q4_v1.xlsx
2025,1,EB1,First Preference,13493,7425,1194,23486,0.55028533313569999259,0.08849032831838731194,0.86146884789418726070,0.13853115210581273930,1.7406062402727340,4,i140_fy2025_q4_v1.xlsx
2025,1,EB2,Second Preference,28437,14369,2946,68170,0.50529240074550761332,0.10359742588880683616,0.82985850418712099336,0.17014149581287900664,2.3972289622674684,4,i140_fy2025_q4_v1.xlsx
2025,1,NIW,National Interest Waiver,20141,4683,2790,56611,0.23251079886798073581,0.13852340995978352614,0.62665596146126053794,0.37334403853873946206,2.8107343230226900,4,i140_fy2025_q4_v1.xlsx
2025,1,TOTAL,Total,57942,32767,4362,132060,0.56551378965172068620,0.07528217873045459252,0.88251770852972070349,0.11748229147027929651,2.2791757274515895,4,i140_fy2025_q4_v1.xlsx
2025,2,E11,Aliens with Extraordinary Ability,7277,3402,1276,16093,0.46750034354816545280,0.17534698364710732445,0.72723386062419837537,0.27276613937580162463,2.2114882506527415,4,i140_fy2025_q4_v1.xlsx
2025,2,EB1,First Preference,12762,7753,1400,27124,0.60750666039805673092,0.10970067387556809278,0.84704468480279689719,0.15295531519720310281,2.1253721987149350,4,i140_fy2025_q4_v1.xlsx
2025,2,EB2,Second Preference,28701,17675,3278,76128,0.61583220096860736560,0.11421204836068429671,0.84355462224979716508,0.15644537775020283492,2.6524511341068255,4,i140_fy2025_q4_v1.xlsx
2025,2,NIW,National Interest Waiver,17610,6591,3206,64475,0.37427597955706984668,0.18205565019875070982,0.67275696641829131367,0.32724303358170868633,3.6612720045428734,4,i140_fy2025_q4_v1.xlsx
2025,2,TOTAL,Total,58017,36311,4900,149327,0.62586827998690039126,0.08445800368857403864,0.88109970638907087913,0.11890029361092912087,2.5738490442456521,4,i140_fy2025_q4_v1.xlsx
2025,3,E11,Aliens with Extraordinary Ability,7471,3508,1765,18081,0.46954892250033462723,0.23624682104135992504,0.66527593400341361654,0.33472406599658638346,2.4201579440503279,4,i140_fy2025_q4_v1.xlsx
2025,3,EB1,First Preference,12540,7287,1862,30275,0.58110047846889952153,0.14848484848484848485,0.79648048967100229533,0.20351951032899770467,2.4142743221690590,4,i140_fy2025_q4_v1.xlsx
2025,3,EB2,Second Preference,28214,17377,4726,82061,0.61589990784716807259,0.16750549372651874956,0.78618287110347011718,0.21381712889652988282,2.9085205926135961,4,i140_fy2025_q4_v1.xlsx
2025,3,NIW,National Interest Waiver,14542,5290,4511,68821,0.36377389630037133819,0.31020492366937147573,0.53974084277114580145,0.46025915722885419855,4.7325677348370238,4,i140_fy2025_q4_v1.xlsx
2025,3,TOTAL,Total,62192,34680,6845,169847,0.55762799073835863134,0.11006238744533058914,0.83515954244431065623,0.16484045755568934377,2.7310104193465397,4,i140_fy2025_q4_v1.xlsx
2025,4,E11,Aliens with Extraordinary Ability,7464,2331,2033,21157,0.31229903536977491961,0.27237406216505894962,0.53414298808432630614,0.46585701191567369386,2.8345391211146838,4,i140_fy2025_q4_v1.xlsx
2025,4,EB1,First Preference,12549,6085,2154,34585,0.48489919515499242968,0.17164714319866124791,0.73856050491564510256,0.26143949508435489744,2.7559964937445215,4,i140_fy2025_q4_v1.xlsx
2025,4,EB2,Second Preference,30845,22906,6040,84575,0.74261630734316745015,0.19581779867077322094,0.79133559040972845989,0.20866440959027154011,2.7419354838709677,4,i140_fy2025_q4_v1.xlsx
2025,4,NIW,National Interest Waiver,13983,2968,5356,74392,0.21225774154330258171,0.38303654437531287993,0.35655934646804420951,0.64344065353195579049,5.3201744976042337,4,i140_fy2025_q4_v1.xlsx
2025,4,TOTAL,Total,66692,48882,8710,180439,0.73295147843819348648,0.13060037185869369640,0.84876371718294207529,0.15123628281705792471,2.7055568883824147,4,i140_fy2025_q4_v1.xlsx
2026,1,E11,Aliens with Extraordinary Ability,7756,2180,2414,24653,0.28107271789582258896,0.31124290871583290356,0.47453199825859817153,0.52546800174140182847,3.1785714285714286,1,i140_fy2026_q1_v1.xlsx
2026,1,EB1,First Preference,13040,5961,2562,39463,0.45713190184049079755,0.19647239263803680982,0.69940161914818725801,0.30059838085181274199,3.0263036809815951,1,i140_fy2026_q1_v1.xlsx
2026,1,EB2,Second Preference,24765,18246,3458,88234,0.73676559660811629316,0.13963254593175853018,0.84067453004054552156,0.15932546995945447844,3.5628507974964668,1,i140_fy2026_q1_v1.xlsx
2026,1,NIW,National Interest Waiver,13829,2380,3206,82812,0.17210210427362788343,0.23183165810976932533,0.42606516290726817043,0.57393483709273182957,5.9882854870200304,1,i140_fy2026_q1_v1.xlsx
2026,1,TOTAL,Total,59148,47922,6453,186875,0.81020490971799553662,0.10909920876445526476,0.88132413793103448276,0.11867586206896551724,3.1594474876580780,1,i140_fy2026_q1_v1.xlsx
