id,form_code,form_name
90,I-817A,I-
28,N-6001,N-
94,N-470P,N-
95,I-751P,I-
98,I-899R,I-
99,I-130I,I-
32,I-526E,Immigrant Petition by Regional Center Investor
101,I-5894A,I-
102,I-90R,I-
103,I-193A,I-
33,I-1,Application for Travel Document (Humanitarian Parole)
105,I-8708R,I-
106,I-8818A,I-
108,N-400N,N-
110,I-360P,I-
111,I-485E,I-
112,I-8819A,I-
113,I-130P,I-
115,I-7653A,I-
135,I-102R,I-
136,N-300D,N-
49,I-5,Immigrant Petition by Alien Investor (Legacy)
139,I-9244A,I-
140,N-400M,N-
143,I-193P,I-
144,I-7654A,I-
145,I-589A,I-
146,I-5263I,I-
147,I-526I,I-
148,N-336R,N-
149,N-470A,N-
54,I-6,Petition to Classify Orphan as an Immediate Relative
153,I-140I,I-
154,N-400A,N-
155,I-924R,I-
158,I-751R,I-
159,N-565A,N-
57,I-7,Application for Employment Authorization (All Other)
161,N-644A,N-
162,I-929P,I-
164,I-8999R,I-
166,I-730R,I-
167,I-485O,I-
168,I-8002P,I-
60,N-4001,Application for Naturalization (Military)
170,I-829P,I-
172,I-9146A,I-
174,I-485R,I-
175,I-90A,I-
176,N-644P,N-
27,I-129,Petition for Alien Fiancé(e)
5,TOTAL,Total - All Forms
30,I-526,Immigrant Petition by Standalone Investor
181,N-648D,N-
182,I-881A,I-
183,I-914A,I-
67,I-924A,I-924A
31,I-941,Application for Entrepreneur Parole
69,I-821D,I-821D
372,I-956,Registration for Direct and Third-Party Promoters
34,I-881,I-881
35,I-131,I-131
36,I-800,Petition to Classify Convention Adoptee as an Immediate Relative
385,I-601,I-601A
48,I-924,I-924A
50,I-821,I-821D
51,DS-230,Immigrant Visas
52,I-90,I-90
71,I-601A,I-601A
189,I-821A,I-
190,I-485I,I-
191,I-485A,I-
192,N-648M,N-
53,N-470,N-470
194,N-300A,N-
195,I-5896A,I-
196,I-102A,I-
197,I-526P,I-
55,I-899,Record of Determination/Reasonable Fear Worksheet
74,I-8,Record of Determination/Reasonable Fear Worksheet
75,I-956K,Registration for Direct and Third-Party Promoters
56,I-824,I-824
202,I-821T,I-
77,I-129F,Petition for Alien Fiancé(e)
78,I-956F,Application for Approval of Investment in a Commercial Enterprise
205,I-8707R,I-
206,I-131R,I-
207,I-129N,I-
79,I-4,Application to Register Permanent Residence or Adjust Status (Employment)
209,I-9189P,I-
210,I-485F,I-
211,I-539A,I-
80,N-6002,Application for Certificate of Citizenship
213,I-9148A,I-
214,I-5895A,I-
58,I-751,Petition to Remove Conditions on Residence
59,I-817,I-817
61,N-565,N-565
62,I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant
63,I-193,I-193
38,N-300,N-300
39,N-644,N-644
40,I-589,I-589
41,I-889,I-889
42,I-730,Refugee/Asylee Relative Petition
43,I-360,"Petition for Amerasian, Widow(er), or Special Immigrant"
44,I-539,I-539
45,I-765,I-765
46,I-829,Petition by Investor to Remove Conditions on Permanent Resident Status
65,N-600,N-600/600K
66,I-870,Record of Determination/Credible Fear Worksheet
401,G-325,Biographic Information (for Deferred Action)
68,I-600,Petition to Classify Orphan as an Immediate Relative
70,I-130,Petition for Alien Relative (Immediate Relative)
72,N-336,Req. for a Hearing on a Decision in Natz. Proceedings (Under Sect. 336 of the INA)
73,I-485,I-485
406,I-290,Notice of Appeal or Motion
76,I-918,Petition for U Nonimmigrant Status
1,I-140,Immigrant Petition for Alien Workers
82,I-102,I-102
37,I-956G,Regional Center Annual Statement
118,I-6001P,I-
119,I-918P,I-
121,I-485C,I-
122,I-129P,I-
123,I-824A,I-
125,I-9187P,I-
126,I-765E,I-
133,I-867R,I-
47,N-4002,Application for Naturalization (Military)
83,I-9,Petition for U Nonimmigrant Status
218,N-565R,N-
84,I-956H,Bona Fides of Person Involved in Regional Center Program
86,G-325A,Biographic Information (for Deferred Action)
222,I-9245A,I-
223,N-6008A,N-
88,I-290B,Notice of Appeal or Motion
226,I-131A,I-
227,I-817F,I-
64,N-648,N-648
85,I-867,I-867
87,N-400,N-400
89,I-914,I-914
