id,category_code,parent_category_code,category_name,category_level,is_employment_based,sort_order,notes
1,TOTAL,,Total,total,t,0,
2,EB1,,First Preference,preference,t,10,
3,E11,EB1,Aliens with Extraordinary Ability,approval_category,t,11,
4,E12,EB1,Outstanding Professors or Researchers,approval_category,t,12,
5,E13,EB1,Multinational Executives or Managers,approval_category,t,13,
6,EB2,,Second Preference,preference,t,20,
7,E21,EB2,Professionals with Advanced Degrees,approval_category,t,21,
8,NIW,EB2,National Interest Waiver,approval_category,t,22,
9,EB3,,Third Preference,preference,t,30,
10,E31,EB3,Skilled Workers,approval_category,t,31,
11,E32,EB3,Professionals with Baccalaureate Degrees,approval_category,t,32,
12,EW3,EB3,Unskilled Workers,approval_category,t,33,
13,OTHER_UNKNOWN,,Other and Unknown,unknown,t,90,
