type,fiscal_year,fiscal_quarter,received,approved,denied,pending
TOTAL,2024,1,55590,38696,4320,71049
TOTAL,2024,2,61386,42554,5269,85806
TOTAL,2024,3,54487,39608,4851,96997
TOTAL,2024,4,56835,38248,5521,112206
Alien of Extraordinary Ability (E11),2024,1,4704,2928,1067,8088
Alien of Extraordinary Ability (E11),2024,2,5364,3112,1263,8992
Alien of Extraordinary Ability (E11),2024,3,4331,2857,1225,9210
Alien of Extraordinary Ability (E11),2024,4,5767,3334,1148,10586
National Interest Waiver (NIW),2024,1,14264,7996,2423,22756
National Interest Waiver (NIW),2024,2,16437,8052,2572,28694
National Interest Waiver (NIW),2024,3,14235,6082,2834,34118
National Interest Waiver (NIW),2024,4,18613,5396,3427,44093
TOTAL,2025,1,57942,32767,4362,132060
TOTAL,2025,2,58017,36311,4900,149327
TOTAL,2025,3,62192,34680,6845,169847
TOTAL,2025,4,66692,48882,8710,180439
Alien of Extraordinary Ability (E11),2025,1,7370,3227,1091,13526
Alien of Extraordinary Ability (E11),2025,2,7277,3402,1276,16093
Alien of Extraordinary Ability (E11),2025,3,7471,3508,1765,18081
Alien of Extraordinary Ability (E11),2025,4,7464,2331,2033,21157
National Interest Waiver (NIW),2025,1,20141,4683,2790,56611
National Interest Waiver (NIW),2025,2,17610,6591,3206,64475
National Interest Waiver (NIW),2025,3,14542,5290,4511,68821
National Interest Waiver (NIW),2025,4,13983,2968,5356,74392
TOTAL,2023,1,40163,42811,4088,47902
TOTAL,2023,2,45506,44777,4575,46014
TOTAL,2023,3,52071,41247,4726,53190
TOTAL,2023,4,51288,39755,6248,60552
Alien of Extraordinary Ability (E11),2023,1,3463,2367,823,6382
Alien of Extraordinary Ability (E11),2023,2,3569,2400,1045,6588
Alien of Extraordinary Ability (E11),2023,3,4278,2580,1097,7265
Alien of Extraordinary Ability (E11),2023,4,4595,3009,1191,7657
National Interest Waiver (NIW),2023,1,8807,7610,1348,18816
National Interest Waiver (NIW),2023,2,8120,9204,1681,16216
National Interest Waiver (NIW),2023,3,10527,7398,2200,17264
National Interest Waiver (NIW),2023,4,12349,7677,2943,19117
TOTAL,2022,1,42526,38527,1470,101567
TOTAL,2022,2,40977,36991,1120,97010
TOTAL,2022,3,43848,37467,932,80185
TOTAL,2022,4,37949,26659,481,54529
Alien of Extraordinary Ability (E11),2022,1,2448,1391,492,5925
Alien of Extraordinary Ability (E11),2022,2,2383,1384,452,6063
Alien of Extraordinary Ability (E11),2022,3,2595,1493,433,6137
Alien of Extraordinary Ability (E11),2022,4,3055,1355,231,6281
National Interest Waiver (NIW),2022,1,4883,3578,252,20584
National Interest Waiver (NIW),2022,2,4845,3470,161,21045
National Interest Waiver (NIW),2022,3,5328,2395,50,20318
National Interest Waiver (NIW),2022,4,6917,873,5,18599
