Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary State and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q3),,,,,,,,,
Beneficiary State,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
Total,"4,279","1,404","4,010","14,246","10,525","8,686","5,947","2,970","52,067"
Texas,353,207,731,"3,665",739,918,"1,012",167,"7,792"
California,911,357,621,"2,697","1,347",411,918,169,"7,431"
Unknown,737,7,64,198,"1,729","2,293",136,"1,033","6,197"
Florida,385,32,250,306,"1,420",913,346,153,"3,805"
New York,329,75,385,752,831,457,418,107,"3,354"
New Jersey,138,58,401,935,214,216,314,55,"2,331"
Washington,218,109,184,784,236,77,551,20,"2,179"
Virginia,96,36,116,756,192,258,402,60,"1,916"
Massachusetts,215,97,132,416,456,171,159,63,"1,709"
Illinois,68,30,148,534,291,148,219,156,"1,594"
Georgia,80,13,132,325,227,382,182,147,"1,488"
Pennsylvania,151,36,89,282,194,323,147,82,"1,304"
Michigan,20,28,98,342,536,64,149,40,"1,277"
North Carolina,56,14,103,291,156,278,95,94,"1,087"
Maryland,91,15,35,175,191,345,54,31,937
Arizona,86,32,40,181,190,19,65,89,702
Ohio,24,22,52,166,166,118,65,52,665
Tennessee,12,14,21,113,93,247,47,9,556
Colorado,13,13,47,84,46,68,53,84,408
Minnesota,11,19,40,137,93,64,29,5,398
Oregon,24,46,35,116,52,16,76,25,390
Connecticut,42,10,45,97,99,13,29,11,346
Missouri,14,6,22,97,86,34,37,44,340
Indiana,16,17,28,65,104,66,35,9,340
Arkansas,13,4,15,74,26,74,42,1,249
Alabama,5,13,11,26,67,76,31,19,248
Kentucky,13,9,6,38,40,117,12,3,238
Wisconsin,8,9,19,75,67,13,33,8,232
Utah,13,6,14,32,79,27,34,18,223
South Carolina,14,6,20,30,51,23,22,38,204
Louisiana,9,4,5,33,65,39,19,14,188
Iowa,5,8,10,39,40,17,23,36,178
Oklahoma,8,5,4,13,44,38,20,39,171
Kansas,8,4,6,51,25,42,19,12,167
District of Columbia,14,1,10,28,38,34,10,3,138
Nevada,26,1,11,16,38,29,10,4,135
Rhode Island,10,7,2,73,18,7,11,1,129
New Mexico,5,4, - ,17,38,38,4,3,109
North Dakota,1,1,1,7,20,63,3,4,100
Nebraska,5,4,4,30,24,11,14,1,93
Delaware,7,8,16,27,24,1,4,5,92
South Dakota, - , - ,3,28,14,22,22,1,90
New Hampshire,3,4,10,35,17,8,11,1,89
Guam, - , - ,3,4,2,74,3, - ,86
Mississippi,5,4,4,17,16,3,4,28,81
West Virginia,5,2,2,13,18,2,4, - ,46
Northern Mariana Islands,2, - , - , - , - ,10,34, - ,46
Idaho,1,2,3,4,19,3,2,6,40
Maine,4,2, - ,10,8,9,1,3,37
Hawaii,2,2,4,3,11,4,9,1,36
Vermont,2, - ,1,3,7,1,2,5,21
Montana, - , - , - ,1,7, - ,2,10,20
Wyoming, - , - ,1,2,8, - ,1, - ,12
Puerto Rico, - , - ,6,1,3,1,1, - ,12
Alaska,1,1, - ,1,3,1,1, - ,8
Virgin Islands, - , - , - ,1, - , - ,1,1,3
Notes:,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
"4) Since petitioners are able to files more than one petition, this report includes all filed petitions; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3 and ELIS, queried 09/2023, TRK 12284",,,,,,,,,
