"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,
Fiscal Years 2013 to 2023 (Q1-Q3),,,,,,,,,,,,
,Fiscal Year Received,,,,,,,,,,,
Petitions by Employment Preference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,TOTAL
TOTAL,"71,574","87,021","102,926","147,622","139,402","137,525","148,436","129,546","178,814","165,310","137,731","1,445,907"
Approved,"64,503","79,357","94,063","134,230","124,997","124,111","135,179","120,033","169,057","153,430","107,531","1,306,491"
Denied,"6,514","6,951","8,117","11,175","12,444","12,643","12,640","9,047","8,745","9,257","4,821","102,354"
"Pending, Other1",557,713,746,"2,217","1,961",771,617,466,"1,012","2,623","25,379","37,062"
First Preference (EB1),,,,,,,,,,,,
Total Petitions,"20,025","22,591","24,488","28,415","31,778","28,296","24,043","21,319","21,979","25,889","26,903","275,726"
Approved,"17,600","19,826","21,805","25,073","27,126","23,137","19,379","17,461","18,453","21,472","17,964","229,296"
Denied,"2,407","2,702","2,647","3,283","4,603","5,123","4,624","3,803","3,237","3,332","2,074","37,835"
"Pending, Other1",18,63,36,59,49,36,40,55,289,"1,085","6,865","8,595"
Approvals by Category,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11),"4,219","4,965","5,920","7,206","8,449","7,175","4,679","4,207","5,368","6,965","5,894","65,047"
Outstanding Professors or Researchers (E12),"3,239","3,370","3,611","3,538","3,814","3,652","3,003","2,600","3,394","3,890","3,528","37,639"
Multinational Executives or Managers (E13),"10,142","11,491","12,274","14,329","14,863","12,310","11,697","10,654","9,691","10,617","8,542","126,610"
Second Preference (EB2),,,,,,,,,,,,
Total Petitions,"40,758","48,642","58,208","81,808","69,854","69,674","78,002","67,464","70,482","84,358","66,724","735,974"
Approved,"38,274","45,900","54,953","77,643","66,009","66,108","73,849","63,948","66,816","78,882","51,275","683,657"
Denied,"2,478","2,729","3,245","4,149","3,822","3,552","4,122","3,431","3,365","4,375","2,229","37,497"
"Pending, Other1",6,13,10,16,23,14,31,85,301,"1,101","13,220","14,820"
Approvals by Category,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2,"34,041","41,178","49,462","71,707","59,040","59,012","63,568","51,798","54,733","61,499","35,546","581,584"
Third Preference (EB3),,,,,,,,,,,,
Total Petitions,"9,555","14,624","18,733","34,179","35,125","38,352","45,572","40,369","86,014","54,674","43,811","421,008"
Approved,"8,631","13,627","17,303","31,511","31,857","34,854","41,950","38,624","83,788","53,076","38,292","393,513"
Denied,920,984,"1,417","2,606","3,157","3,419","3,575","1,710","2,045","1,459",485,"21,777"
"Pending, Other1",4,13,13,62,111,79,47,35,181,139,"5,034","5,718"
Approvals by Category,,,,,,,,,,,,
Skilled Workers (E31),"3,628","3,760","7,800","11,236","11,969","11,873","15,807","14,798","15,839","19,213","17,217","133,140"
Professionals with Baccalaureate Degrees (E32),"4,600","9,528","8,458","16,890","16,349","18,819","20,590","17,620","60,786","24,610","14,409","212,659"
Needed Unskilled Workers (EW3),403,339,"1,045","3,385","3,539","4,162","5,553","6,206","7,163","9,253","6,666","47,714"
Other and Unknown3,-,-,1,4,2,7,-,-,-,-,-,14
Approved,-,-,1,1,1,6,-,-,-,-,-,9
Denied,-,-,-,3,1,1,-,-,-,-,-,5
"Pending, Other1",-,-,-,-,-,-,-,-,-,-,-,-
Table Key:,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,
Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;  thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,
"5) Top five countries are determined by total number of receipts in FY2023 and they are India, China, the Philippines, Brazil, and South Korea.",,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,
"7) Since petitioners are able to files more than one application, this report includes all filed petition; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"CLAIMS3 and ELIS, queried 09/2023, TRK 12287",,,,,,,,,,,,
